rajnish_video1.webm.mp4,0,CALM:97.30988 | SURPRISED:6.4211645 | FEAR:6.0523753 | SAD:2.259016 | CONFUSED:1.043065 | DISGUSTED:0.23682147 | ANGRY:0.19261798 | HAPPY:0.049784843 | ,width: 0.22220421 | height: 0.5454867left: 0.4305241 | top: 0.1748694
rajnish_video1.webm.mp4,483,CALM:97.2548 | SURPRISED:6.323728 | FEAR:6.05188 | SAD:2.2705364 | CONFUSED:1.2407007 | ANGRY:0.23877402 | DISGUSTED:0.20433906 | HAPPY:0.047958195 | ,width: 0.22188845 | height: 0.5444144left: 0.43047538 | top: 0.16654904
rajnish_video1.webm.mp4,967,FEAR:81.01428 | CALM:31.58814 | SURPRISED:6.9658117 | SAD:2.523747 | CONFUSED:1.8794249 | DISGUSTED:0.47267607 | ANGRY:0.41747564 | HAPPY:0.2121008 | ,width: 0.22031364 | height: 0.54727226left: 0.4294556 | top: 0.16446008
rajnish_video1.webm.mp4,1485,CALM:64.79961 | FEAR:35.32725 | SURPRISED:6.6186233 | SAD:2.3937843 | CONFUSED:0.73903984 | ANGRY:0.27136922 | DISGUSTED:0.2325123 | HAPPY:0.1603135 | ,width: 0.22087058 | height: 0.5432946left: 0.4317933 | top: 0.16931169
rajnish_video1.webm.mp4,1969,CALM:62.75769 | FEAR:36.684113 | SURPRISED:6.6294856 | SAD:2.4187894 | CONFUSED:1.7772613 | ANGRY:0.29104096 | DISGUSTED:0.26783058 | HAPPY:0.13694845 | ,width: 0.22290602 | height: 0.546715left: 0.42636365 | top: 0.16950646
rajnish_video1.webm.mp4,2487,CALM:86.70869 | FEAR:7.4400134 | SURPRISED:6.8155646 | CONFUSED:5.4177833 | SAD:2.5298982 | DISGUSTED:0.7801516 | ANGRY:0.7367497 | HAPPY:0.33958706 | ,width: 0.22113876 | height: 0.54527694left: 0.42827922 | top: 0.16601558
rajnish_video1.webm.mp4,2971,CALM:91.633644 | FEAR:7.110304 | SURPRISED:6.4749637 | SAD:2.5874238 | CONFUSED:2.054964 | DISGUSTED:0.68790144 | ANGRY:0.52739537 | HAPPY:0.2829568 | ,width: 0.21965942 | height: 0.5247171left: 0.43368006 | top: 0.16773275
rajnish_video1.webm.mp4,3489,CALM:94.278625 | FEAR:6.7732096 | SURPRISED:6.526249 | SAD:2.3653226 | CONFUSED:1.4163977 | ANGRY:0.40178248 | DISGUSTED:0.2877637 | HAPPY:0.1259307 | ,width: 0.22618322 | height: 0.56330466left: 0.4278404 | top: 0.1616484
rajnish_video1.webm.mp4,3973,CALM:62.83145 | FEAR:30.49416 | SURPRISED:6.8875628 | SAD:2.7816095 | CONFUSED:2.702378 | DISGUSTED:1.0186167 | ANGRY:0.90485036 | HAPPY:0.4354781 | ,width: 0.21859303 | height: 0.5425981left: 0.4356928 | top: 0.16671075
rajnish_video1.webm.mp4,4491,CALM:97.818825 | SURPRISED:6.3086705 | FEAR:5.94995 | SAD:2.2924418 | CONFUSED:0.9550265 | ANGRY:0.2388525 | DISGUSTED:0.16149768 | HAPPY:0.042270664 | ,width: 0.21941367 | height: 0.53335685left: 0.43520412 | top: 0.1699048
rajnish_video1.webm.mp4,4974,CALM:99.46336 | SURPRISED:6.2824597 | FEAR:5.9059696 | SAD:2.1854455 | CONFUSED:0.10714285 | ANGRY:0.096440114 | DISGUSTED:0.04557485 | HAPPY:0.015249237 | ,width: 0.21754532 | height: 0.54285777left: 0.4281246 | top: 0.17343427
